product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,sale_price,price_tier,skuid,product_id,units_sold,search_term,category,revenue,market_share,group_size
Optima,Optima,https://shop.advanceautoparts.com/p/optima-blue-top-marine-battery-group-size-27m-800-cca-d27m/16940024-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,800 A,1000 A,801-1000AMP,8.75,12.187,6.812,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12 volt,53.8,>40pound,NA,"Blue Top Marine Battery, Group Size 27M, 800 CCA",(21 reviews),2 YR FREE REPLACEMENT,344.99,201-400$,16940024,16940024,6,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2069.94,0.000466,27M
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-34-800-cca-34-980/16080022-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,34,800 A,1000 A,801-1000AMP,7.875,10.06,6.875,501-1000sq.inch,Top Right,Top Left,100 min,Top Mount,12 volt,37.9,20.1-40pound,NA,"Red Top Battery, Group Size 34, 800 CCA",(39 reviews),3 YR FREE REPLACEMENT,254.99,201-400$,16080022,16080022,18,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4589.82,0.001032404,34
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12a-a/2090155-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,165 A,NA,NA,6.3,5.28,3.15,101-200sq.inch,NA,NA,NA,NA,12 volt,8.3,5.1-10pound,NA,Power Sport Battery,(29 reviews),3 MO FREE REPLACEMENT,54.99,51-100$,2090155,2090155,18,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,989.82,0.000223,NA
Value Battery,Value Battery,https://shop.advanceautoparts.com/p/value-battery-battery-group-size-26-450-cca-26-v/11928950-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,26,450 A,560 A,400-600AMP,7.75,8.187,6.812,201-500sq.inch,Top Right,Top Left,85 min,Top Mount,12 volt,27.45,20.1-40pound,NA,"Battery, Group Size 26, 450 CCA",(0 reviews),90 DAY REPLACEMENT IF DEFECTIVE,84.99,51-100$,11928950,11928950,7,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,594.93,0.000134,26
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-58r-590-cca-58r-2/2040069-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,58R,590 A,719 A,601-800AMP,6.937,10.06,7.187,501-1000sq.inch,Top Left,Top Right,90 min,Top Mount,12 volt,31,20.1-40pound,NA,"Battery, Group Size 58R, 590 CCA",(20 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040069,2040069,35,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5599.65,0.001259548,58R
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-31t-900-cca-d31t-1125/16080020-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,31T,900 A,1125 A,1001-1500AMP,9.375,12.812,6.562,501-1000sq.inch,Top Right,Top Left,155 min,Top Mount,12 volt,59.8,>40pound,NA,"Yellow Top Deep Cycle Battery, Group Size 31T, 900 CCA",(4 reviews),2 YR FREE REPLACEMENT,364.99,201-400$,16080020,16080020,0,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,0,31T
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aaa-alkaline-batteries-16-pack-durmn2400b16z/12257313-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CopperTop AAA Alkaline Batteries - 16 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,15.79,1-50$,12257313,12257313,50,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,789.5,0.000178,NA
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aa-alkaline-batteries-16-pack-durmn1500b16z/12257416-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CopperTop AA Alkaline Batteries - 16 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,15.79,1-50$,12257416,12257416,86,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1357.94,0.000305,NA
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aaa-alkaline-batteries-4-pack-durmn2400b4z/12257564-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CopperTop AAA Alkaline Batteries - 4 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,6.79,1-50$,12257564,12257564,94,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,638.26,0.000144,NA
Energizer,NA,https://shop.advanceautoparts.com/p/energizer-2450-lithium-coin-battery-2-pack-2450bp-2n/12219202-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2450 Lithium Coin Battery, 2 Pack",(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,8.29,1-50$,12219202,12219202,58,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,480.82,0.000108,NA
