product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,sale_price,price_tier,skuid,product_id,units_sold,search_term,category,revenue,market_share,group_size
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-10l-a2/2090139-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,160 A,NA,NA,5.71,5.31,3.54,101-200sq.inch,NA,NA,NA,NA,12 volt,7.2,5.1-10pound,NA,Power Sport Battery,(4 reviews),3 MO FREE REPLACEMENT,54.99,51-100$,2090139,2090139,15,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,824.85,0.000186,NA
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aa-alkaline-batteries-8-pack-durmn15b8ptpz99/12257418-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CopperTop AA Alkaline Batteries - 8 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,9.99,1-50$,12257418,12257418,142,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1418.58,0.000319,NA
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-coppertop-aa-alkaline-batteries-4-pack-durmn1500b4z/12257484-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CopperTop AA Alkaline Batteries - 4 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,6.29,1-50$,12257484,12257484,111,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,698.19,0.000157,NA
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-8d-1400-cca-8dvt/12102972-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,8D,1400 A,1750 A,>1500AMP,NA,NA,NA,NA,Top Left,Top Right,450 min,Top Mount,12 volt,NA,NA,NA,"Heavy Duty Commercial & Farm Battery, Group Size 8D, 1400 CCA",(0 reviews),1 YR REPLACEMENT IF DEFECTIVE,259.99,201-400$,12102972,12102972,9,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2339.91,0.000526,8D
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-51-450-cca-d51/16940000-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,51,450 A,575 A,400-600AMP,8.937,9.312,5.06,201-500sq.inch,Top Right,Top Left,66 min,Top Mount,12 volt,26,20.1-40pound,NA,"Yellow Top Deep Cycle Battery, Group Size 51, 450 CCA",(22 reviews),3 YR FREE REPLACEMENT,264.99,201-400$,16940000,16940000,7,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1854.93,0.000417,51
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-agm-premium-battery-group-size-31t-825-cca-ng31cs/10227749-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,31T,825 A,1000 A,801-1000AMP,9.437,13,6.812,501-1000sq.inch,Top Right,Top Left,200 min,Top Mount,12 volt,70.6,>40pound,100.0 Ah,"AGM Premium Battery, Group Size 31T, 825 CCA",(1 reviews),12 MO FREE REPLACMENT,243.99,201-400$,10227749,10227749,4,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,975.96,0.00022,31T
AutoCraft,AutoCraft,https://shop.advanceautoparts.com/p/autocraft-power-sport-battery-12al-a/2090376-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,165 A,NA,NA,6.3,5.28,3.15,101-200sq.inch,NA,NA,NA,NA,12 volt,8.3,5.1-10pound,NA,Power Sport Battery,(1 reviews),3 MO FREE REPLACEMENT,52.99,51-100$,2090376,2090376,0,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,0,0,NA
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12n14-3a/6590335-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,128 A,NA,NA,6.54,5.28,3.5,101-200sq.inch,NA,NA,NA,NA,12 volt,9,5.1-10pound,NA,Power Sport Battery,(13 reviews),90 DAY REPLACEMENT IF DEFECTIVE,72.99,51-100$,6590335,6590335,2,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,145.98,3.28E-05,NA
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-31t-750-cca-31xs-30/11968230-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,31T,750 A,935 A,801-1000AMP,9.5,13,6.75,501-1000sq.inch,Top Left,Top Right,180 min,Top Mount,12 volt,57.11,>40pound,NA,"Heavy Duty Commercial & Farm Battery, Group Size 31T, 750 CCA",(0 reviews),1 YR FREE REPLACEMENT,125.99,101-200$,11968230,11968230,8,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1007.92,0.000227,31T
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-bt14b-4-210-cca-bt14b-4/12018857-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,210 A,NA,NA,NA,NA,NA,NA,Top Right,Top Left,NA,Top Mount,12 volt,NA,NA,12.0 Ah,"Powersports Battery, Group Size BT14B-4, 210 CCA",(0 reviews),90 DAY REPLACEMENT IF DEFECTIVE,120.99,101-200$,12018857,12018857,4,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,483.96,0.000109,BT14B-4
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-29nf-420-cca-29nf40/11968146-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,29NF,420 A,525 A,400-600AMP,9,12.875,5.5,501-1000sq.inch,Top Left,Top Right,77 min,Top Mount,12 volt,38.1,20.1-40pound,NA,"Heavy Duty Commercial & Farm Battery, Group Size 29NF, 420 CCA",(0 reviews),1 YR FREE REPLACEMENT,139.99,101-200$,11968146,11968146,1,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,139.99,3.15E-05,29NF
Duracell,Duracell,https://shop.advanceautoparts.com/p/duracell-optimum-aa-batteries-4-pack-duropt1500b4/12257417-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Optimum AA Batteries - 4 Pack,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,8.99,1-50$,12257417,12257417,25,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,224.75,5.06E-05,NA
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-4-1000-cca-4-30/11968232-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,4,1000 A,1250 A,1001-1500AMP,9.5,12.5,6.875,501-1000sq.inch,Top Left,Top Right,295 min,Top Mount,6 volt,50.11,>40pound,NA,"Heavy Duty Commercial & Farm Battery, Group Size 4, 1000 CCA",(0 reviews),1 YR FREE REPLACEMENT,113.99,101-200$,11968232,11968232,3,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,341.97,7.69E-05,4
