product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,Type
fram extra guard air filter ca10755 for select dodge jeep lexus and toyota vehicles,https://www.amazon.com/CA10755-Extra-Flexible-Rectangular-Filter/dp/B004A0RBSK/ref=sr_1_28?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-28,B004A0RBSK,Fram,Filters,15.35,0-50$,1865,28628,0.8102145676171716,CA10755,CA10755,0.4375,0-1pound,0.79 x 0.39 x 1.18 inches,1-50sq.inch,NA,air filter
ecogard xc10434 premium cabin air filter fits nissan rogue 2014-2020 rogue sport 2017-2019,https://www.amazon.com/ECOGARD-XC10434-Premium-Filter-Nissan/dp/B01A0Y1MNE/ref=sr_1_29?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-29,B01A0Y1MNE,ECOGARD,Filters,11.34,0-50$,873,9900,0.28018458220658093,XC10434,27277-4BU0A,0.2,0-1pound,9.88 x 7.13 x 1.42 inches,101-200sq.inch,China,air filter
airtechnik cf12161 cabin air filter w/activated carbon | fits kia sorento 2016-2020,https://www.amazon.com/AirTechnik-CF12161-Activated-Sorento-2016-2020/dp/B08X8YDFLZ/ref=sr_1_30?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-30,B08X8YDFLZ,AirTechnik,Filters,11.99,0-50$,330,3957,0.11198892846378189,NA,"CF12161, KIA: 97134-C6900, C6C79-AC000",0.4375,0-1pound,10.71 x 8.35 x 1.34 inches,101-200sq.inch,NA,air filter
epauto cp134 (cf10134) premium cabin air filter includes activated carbon,https://www.amazon.com/EPAuto-CF10134-Premium-Filter-Activated/dp/B014TZAUU6/ref=sr_1_31?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-31,B014TZAUU6,EPAUTO,Filters,8.87,0-50$,5547,49202,1.392489072093757,Premium Cabin Air Filter,"800003P, 80292-SDA-A01, 80292-SDC-A01, 80292-SEC-A01, 80292-SHJ-A41, 80292-SWA-A01, 80292-T0G-A01, 80292-TZ5-A41",0.59375,0-1pound,9.45 x 9.17 x 1.38 inches,101-200sq.inch,NA,air filter
fuel filter water separator and oil filter set fits for dodge ram 6.7l cummins diesel 2013-2018 2500 3500 4500 5500 replaces 68197867aa 68157291aa 5083285aa,https://www.amazon.com/Separator-2013-2018-68197867AA-68157291AA-5083285AA/dp/B08GWWP3CZ/ref=sr_1_32?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-32,B08GWWP3CZ,KOROP AUTO PARTS,Filters,36.98,0-50$,487,18009,0.5096812263594258,NA,NA,4.4,2.1-5pound,10.79 x 9.45 x 5.35 inches,501-1000sq.inch,NA,fuel filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf10285 for toyota vehicles white,https://www.amazon.com/CF10285-Fresh-Breeze-Filter-Hammer/dp/B001CEG90I/ref=sr_1_33?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-33,B001CEG90I,Fram,Filters,15.84,0-50$,6827,108140,3.0605212848302688,CF10285,CF10285,0.2,0-1pound,8.47 x 7.64 x 1.14 inches,51-100sq.inch,China,air filter
mobil 1 m1-110a extended performance oil filter,https://www.amazon.com/Mobil-M1-110A-Extended-Performance-Filter/dp/B0727SCP22/ref=sr_1_34?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-34,B0727SCP22,Mobil 1,Filters,9.97,0-50$,2487,24795,0.7017350217992095,Mobil 1 M1-110A Extended Performance Oil Filter,NA,0.05,0-1pound,4 x 4 x 4 inches,51-100sq.inch,USA,oil filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf12157 for select lexus and toyota vehicles  white,https://www.amazon.com/CF12157-Fresh-Breeze-Filter-Hammer/dp/B07B155581/ref=sr_1_35?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-35,B07B155581,Fram,Filters,19.23,0-50$,800,15384,0.4353898598652567,CF12157,NA,0.01,0-1pound,8 x 7 x 1 inches,51-100sq.inch,China,air filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf11809 for select cadillac chevrolet gmc vehicles white,https://www.amazon.com/CF11809-Fresh-Breeze-Filter-Hammer/dp/B016XE8P3A/ref=sr_1_36?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-36,B016XE8P3A,Fram,Filters,13.97,0-50$,1809,25272,0.7152348243964357,CF11809,NA,0.6,0-1pound,10.08 x 9.49 x 1.34 inches,101-200sq.inch,China,air filter
fram extra guard air filter ca8755a for select cadillac chevrolet and gmc vehicles,https://www.amazon.com/CA8755A-Extra-Flexible-Rectangular-Filter/dp/B000C31J9G/ref=sr_1_37?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-37,B000C31J9G,Fram,Filters,12.47,0-50$,2091,26075,0.737960907175414,CA8755A,CA8755A,1,0-1pound,13 x 3 x 10 inches,2011-500sq.inch,Canada,air filter
fram extra guard air filter ca8918 for select lexus and toyota vehicles,https://www.amazon.com/CA8918-Extra-Guard-Rectangular-Filter/dp/B0009H51ZS/ref=sr_1_38?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-38,B0009H51ZS,Fram,Filters,12.47,0-50$,371,4626,0.13092261386743873,NA,CA8918,1.15,1.1-2pound,9.85 x 3.35 x 14.89 inches,2011-500sq.inch,USA,air filter
fram extra guard air filter ca10262 for select ford and lincoln vehicles,https://www.amazon.com/CA10262-Extra-Guard-Panel-Filter/dp/B001C6N5D0/ref=sr_1_39?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-39,B001C6N5D0,Fram,Filters,10.56,0-50$,1352,14277,0.4040601293094299,TRV225476,CA10262,0.85,0-1pound,11 x 3 x 11 inches,2011-500sq.inch,USA,air filter
epauto cp939 (cuk2939) replacement premium cabin air filter includes activated carbon,https://www.amazon.com/EPAuto-CUK2939-Replacement-Volkswagen-Activated/dp/B017OHX6RK/ref=sr_1_43?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-43,B017OHX6RK,EPAUTO,Filters,11.87,0-50$,570,6766,0.19148776598078046,NA,"1K0 819 644, 1K0 819 644B, 1K0 819 644, 1K0 819 644B, 1K0-819-653B, 1K1 819 619, 1K1 819 653, 1K1 819 653A, 1K1 819 653B, 1K1 819 653, 1K1 819 653A, 1K1 819 653B, CUK2939, CF10373",0.6625,0-1pound,11.61 x 9.09 x 2.48 inches,2011-500sq.inch,NA,air filter
fram xg7317ultra synthetic 20k mile change interval spin-on oil filter with suregrip (xg7317),https://www.amazon.com/XG7317-Ultra-Synthetic-Filter-SureGrip/dp/B000C33MI2/ref=sr_1_44?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-44,B000C33MI2,Fram,Filters,8.56,0-50$,5860,50162,1.4196584861259103,XG7317,XG7317,0.45,0-1pound,3.01 x 3.01 x 3.63 inches,1-50sq.inch,Canada,oil filter
epauto cpj6x (kd45-61-j6x) replacement for mazda premium cabin air filter includes activated carbon,https://www.amazon.com/EPAuto-KD45-61-J6X-Replacement-Premium-Activated/dp/B01LWV2W5M/ref=sr_1_45?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-45,B01LWV2W5M,EPAUTO,Filters,10.97,0-50$,1808,19834,0.5613314144934674,NA,"KD45-61-J6X, KR11-61-J6X, MP11-1K-D45",0.3,0-1pound,9.57 x 8.39 x 1.46 inches,101-200sq.inch,NA,air filter
philtop engine air filter replacement for ca9683 gp683 tacoma (2005-2015) 4runner (2003-2005) fj cruiser (2007-2009) tundra (2005) pack of 1,https://www.amazon.com/PHILTOP-Replacement-2005-2015-2003-2005-2007-2009/dp/B08MTC1X5R/ref=sr_1_47?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-47,B08MTC1X5R,PHILTOP,Filters,13.99,0-50$,313,4379,0.12393215004874929,NA,"17801-0P010, 17801-31090",1.17,1.1-2pound,14.72 x 6.93 x 2.87 inches,2011-500sq.inch,NA,air filter
puroma cabin air filter with activated carbon replacement for cp134 cf10134 honda & acura civic cr-v odyssey csx ilx mdx rdx at134 (2 pcs),https://www.amazon.com/Puroma-Activated-Replacement-CF10134-Odyssey/dp/B07QKL19Z6/ref=sr_1_48?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-48,B07QKL19Z6,Puroma,Filters,13.85,0-50$,959,13282,0.375900163724021,NA,"# 80292-SDA-A01, 80292-SDC-A01, 80292-SEC-A01, 80292-SHJ-A41, 80292-SWA-A01, 80292-T0G-A01, 80292-TZ5-A41",1.23,1.1-2pound,9.17 x 8.86 x 1.18 inches,51-100sq.inch,NA,air filter
motorcraft fa1883 air filter,https://www.amazon.com/Motorcraft-FA-1883-Air-Filter/dp/B000V53VR8/ref=sr_1_49?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-49,B000V53VR8,Motorcraft,Filters,16.1,0-50$,2089,33633,0.9518634397327209,FA-1883,FA1883,1,0-1pound,NA,NA,NA,air filter
puroma cabin air filter with activated carbon replacement for cp285 cf10285 toyota lexus scion (1 pc),https://www.amazon.com/dp/B07VHMX2NT,B07VHMX2NT,Puroma,Filters,9.85,0-50$,1632,16075,0.45494617767381706,NA,NA,0.4,0-1pound,7.6 x 8.43 x 1.18 inches,51-100sq.inch,NA,air filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf10374 for dodge/toyota vehicles,https://www.amazon.com/CF10374-Fresh-Breeze-Filter-Hammer/dp/B001CEJH0W/ref=sr_1_51?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-51,B001CEJH0W,Fram,Filters,13.97,0-50$,2252,31460,0.8903643390120239,NA,CF10374,0.15,0-1pound,8 x 8 x 0.7 inches,1-50sq.inch,USA,air filter
spectre essentials engine air filter: premium 50-percent longer life: fits select 2005-2020 nissan (frontier nv1500/2500 titan xterra armada pathfinder) 1993-2004 jeep grand cherokee spa-2286,https://www.amazon.com/Spectre-Essentials-Engine-Air-Filter/dp/B08NXZYX57/ref=sr_1_52?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-52,B08NXZYX57,Spectre Performance,Filters,13.99,0-50$,150,2099,0.05940479172238519,SPA-2286,NA,0.75,0-1pound,11.75 x 10 x 2 inches,2011-500sq.inch,USA,air filter
epauto cp157 (cf12157) carbon replacement for cabin air filter includes activated carbon,https://www.amazon.com/EPAuto-CF12157-Carbon-Replacement-Activated/dp/B083XL4RFR/ref=sr_1_53?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-53,B083XL4RFR,EPAUTO,Filters,10.97,0-50$,1731,18989,0.5374166698505825,NA,"72880-FL00A, TK48-61-J6X, 87139-0E040, 87139-0R030, 87139-26010, 87139-28020, 87139-48050, 87139-58010, 87139-YZZ37, 97139-0E040, 97139-58010",0.4375,0-1pound,8.74 x 7.4 x 1.42 inches,51-100sq.inch,NA,air filter
bosch 3323 premium filtech oil filter for select acura mdx rdx rsx tl chrysler dodge ford honda accord civic cr-v pilot infiniti nissan + more,https://www.amazon.com/Bosch-3323-Premium-FILTECH-Filter/dp/B000BZIFV0/ref=sr_1_54?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-54,B000BZIFV0,Bosch Automotive,Filters,7.93,0-50$,6318,50102,1.4179603977489008,3323,3323,0.45,0-1pound,NA,NA,USA,oil filter
ecogard xa6114 premium engine air filter fits toyota prius 1.8l hybrid 2010-2015 prius v 1.8l hybrid 2012-2017 rav4 2.5l hybrid 2016-2018,https://www.amazon.com/ECOGARD-XA6114-Premium-Engine-Filter/dp/B00AKEWC2A/ref=sr_1_52?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-52,B00AKEWC2A,ECOGARD,Filters,12.09,0-50$,311,3760,0.10641353829260045,XA6114,17801-37020,0.08,0-1pound,10.6 x 9.3 x 2.7 inches,2011-500sq.inch,China,air filter
fram extra guard ph3614 10k mile change interval spin-on oil filter,https://www.amazon.com/PH3614-Extra-Guard-Spin-Filter/dp/B0009H52AM/ref=sr_1_53?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-53,B0009H52AM,Fram,Filters,3.88,0-50$,3398,13184,0.3731266193749054,FRAM PH3614 Extra Guard Spin-On Oil Filter,PH3614,0.01,0-1pound,3.1 x 3.1 x 3.51 inches,1-50sq.inch,USA,oil filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf11671 for select mazda and ram vehicles white,https://www.amazon.com/CF11671-Fresh-Breeze-Filter-Hammer/dp/B00GYTEDN6/ref=sr_1_54?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-54,B00GYTEDN6,Fram,Filters,18.39,0-50$,1143,21020,0.5948969614123567,CF11671,NA,0.25,0-1pound,8.83 x 8.04 x 1.17 inches,51-100sq.inch,USA,air filter
ecogard xa10483 premium engine air filter fits honda hr-v 1.8l 2016-2021,https://www.amazon.com/ECOGARD-XA10483-Premium-Engine-2016-2018/dp/B01M1HYDSB/ref=sr_1_55?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-55,B01M1HYDSB,ECOGARD,Filters,17.53,0-50$,324,5680,0.16075236635690704,XA10483,17220-51B-H00,0.5375,0-1pound,8.98 x 8.62 x 1.93 inches,101-200sq.inch,China,air filter
filtertime rv ft-616 allergen rv air filter 6x16 ac filter replacement for coleman mach (2 filters per pack) merv 6 replaces original standard air filter | made in usa,https://www.amazon.com/FilterTime-Allergen-Replacement-Replaces-Original/dp/B099X5TYZH/ref=sr_1_56?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-56,B099X5TYZH,FilterTime,Filters,19.98,0-50$,188,3756,0.10630033240079981,NA,NA,0.1875,0-1pound,16 x 6 x 0.5 inches,1-50sq.inch,NA,air filter
fram ultra synthetic xg10060 20k mile change interval spin-on oil filter with suregrip,https://www.amazon.com/XG10060-Ultra-Synthetic-Filter-SureGrip/dp/B002QH5VVI/ref=sr_1_57?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-57,B002QH5VVI,Fram,Filters,8.97,0-50$,3247,29126,0.8243087011463512,XG10060,XG10060,0.7,0-1pound,4 x 4 x 4 inches,51-100sq.inch,USA,oil filter
dodge ram 6.7l cummins diesel filter set mopar oem,https://www.amazon.com/Dodge-Cummins-Diesel-Filter-Mopar/dp/B0718X28V6/ref=sr_1_58?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-58,B0718X28V6,Mopar,Filters,167.28,101-200$,1476,246905,6.987775178759178,"68197867AB, 68157291AA, 5083285AA Mopar 6.7L Cummins Diesel Filter Set","53034051AB, 68157291AA, 68197867AB",4.03,2.1-5pound,12.05 x 8.5 x 6.69 inches,501-1000sq.inch,NA,diesel filter
