title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type,Type,,
noco boost x gbx155 4250a 12v ultrasafe portable lithium jump starter car battery booster pack usb-c powerbank charger and jumper cables for up to 10.0-liter gas and 8.0-liter diesel engines,https://www.amazon.com/NOCO-GBX155-UltraSafe-Powerbank-10-0-Liter/dp/B08WZFPXFM/ref=sr_1_15?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-15&ts_id=387679011,B08WZFPXFM,NOCO,Jump Sarter,349.95,201-400$,1384,484331,2.5523541654568,GBX155,,7.01,5.1-10pound,8.18 x 4.84 x 13.51 inches,501-1000sq.inch,500 Amps,201-500AMP,12 Volts,China,"Passenger Car, Motorcycle, Van, ATV, SUV, Truck, Tractor",portable,,
car battery jump starter portable - 600a peak waterproof 12v portable battery booster pack (up to 4.0l gas or 2.0l diesel engine) safe auto power bank with usb port smart clamps & led flashlight,https://www.amazon.com/Car-Battery-Jump-Starter-Portable/dp/B07TD4NQR9/ref=sr_1_16?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-16&ts_id=387679011,B07TD4NQR9,Vekkia,Jump Sarter,41.99,0-50$,1038,43586,0.229691902140478,,,1.35,1.1-2pound,5.52 x 3.35 x 0.99 inches,1-50sq.inch,600 Amps,>500AMP,12 Volts,,ATV,portable,,
car jump starter sun pow 2000a peak 20000mah lithium jump starter pack(up to all gas and 8.5l diesel)12v battery booster for cars trucks suv portable power pack with lcd screen & led light,https://www.amazon.com/Starter-SUNPOW-20000mAh-Lithium-Portable/dp/B08MTJFGDW/ref=sr_1_18?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-18&ts_id=387679011,B08MTJFGDW,SUN P O W,Jump Sarter,95.99,51-100$,1007,96662,0.509394728690472,,,2,1.1-2pound,4 x 2 x 9 inches,51-100sq.inch,2000 Amps,>500AMP,12 Volts,,"Passenger Car, Van, Motorcycle, Lawn-mower, Yacht, SUV, Truck, Watercraft, Snowmobile",portable,,
nexpow car battery starter 1500a peak 21800mah 12v portable car jump starter auto battery booster lithium jump box with led light/quick charge 3.0,https://www.amazon.com/NEXPOW-Battery-Starter-21800mAh-Charge/dp/B07T9S3Q5N/ref=sr_1_19?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-19&ts_id=387679011,B07T9S3Q5N,NEXPOW,Jump Sarter,69.99,51-100$,1227,85878,0.452564611848299,,,2.68,2.1-5pound,9 x 3.4 x 1.2 inches,1-50sq.inch,1500 Amps,>500AMP,12 Volts,,"Passenger Car, Motorcycle, ATV, UTV, Truck, Snowmobile",portable,,
nexpow 2000a peak 18000mah car jump starter with usb quick charge 3.0 (up to 7.0l gas or 6.5l diesel engine) 12v portable battery starter battery booster with built-in led light,https://www.amazon.com/NEXPOW-18000mAh-Starter-Portable-Battery/dp/B087LRFYDB/ref=sr_1_20?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-20&ts_id=387679011,B087LRFYDB,NEXPOW,Jump Sarter,79.98,51-100$,1349,107893,0.568580470739288,,,2.59,2.1-5pound,9 x 3.4 x 1.2 inches,1-50sq.inch,2000 Amps,>500AMP,12 Volts,,"Passenger Car, Motorcycle, ATV, UTV, Truck, Snowmobile",portable,,
noco boost xl gb50 1500 amp 12-volt ultrasafe lithium jump starter box car battery booster pack portable power bank charger and jumper cables for up to 7-liter gasoline and 4-liter diesel engines,https://www.amazon.com/NOCO-GB50-UltraSafe-Lithium-Gasoline/dp/B07MVY7K43/ref=sr_1_21?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-21&ts_id=387679011,B07MVY7K43,NOCO,Jump Sarter,151.08,101-200$,1590,240217,1.26590877016655,GB50,,1.65,1.1-2pound,7.7 x 3.4 x 1.9 inches,1-50sq.inch,1500 Amps,>500AMP,12 Volts,China,Passenger Car,portable,,
noco boost x gbx75 2500a 12v ultrasafe portable lithium jump starter car battery booster pack usb-c powerbank charger and jumper cables for up to 8.5-liter gas and 6.5-liter diesel engines,https://www.amazon.com/NOCO-GBX75-UltraSafe-Powerbank-8-5-Liter/dp/B08WYKD6TY/ref=sr_1_23?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-23&ts_id=387679011,B08WYKD6TY,NOCO,Jump Sarter,249.95,201-400$,728,181964,0.95892390403088,GBX75,,5,2.1-5pound,7.28 x 4.84 x 9.8 inches,2011-500sq.inch,2500 Amps,>500AMP,12 Volts,China,"Passenger Car, Van, Motorcycle, ATV, SUV, Truck, Tractor",portable,,
noco boost x gbx45 1250a 12v ultrasafe portable lithium jump starter car battery booster pack usb-c powerbank charger and jumper cables for up to 6.5-liter gas and 4.0-liter diesel engines,https://www.amazon.com/NOCO-GBX45-UltraSafe-Powerbank-6-5-Liter/dp/B0924V8SPC/ref=sr_1_24?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-24&ts_id=387679011,B0924V8SPC,NOCO,Jump Sarter,124.95,101-200$,1986,248151,1.30771980012072,GBX45,,2.75,2.1-5pound,3.62 x 4.96 x 8.23 inches,101-200sq.inch,1250 Amps,>500AMP,12 Volts,China,"Passenger Car, Motorcycle, Van, ATV, SUV, Truck, Tractor",portable,,
foxpeed 2500a car jump starter 21000mah 12v car battery charger jump starter (up to 8l gas 6.5l diesel engine) with lcd dispaly usb quick charge type c port & sturdy case portable battery booster,https://www.amazon.com/Foxpeed-Battery-21000mAh-Portable-Flashlight/dp/B08D39YZPQ/ref=sr_1_25?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-25&ts_id=387679011,B08D39YZPQ,FOXPEED,Jump Sarter,69.99,51-100$,1494,104565,0.551042393138143,G29,,2.64,2.1-5pound,9.72 x 5.28 x 4.25 inches,2011-500sq.inch,2500 Amps,>500AMP,12 Volts,,"Passenger Car, Van, SUV, Truck",portable,,
schumacher battery charger with engine starter boost and maintainer - 200 amp/40 amp 6v/12v - for cars trucks suvs marine rv batteries,https://www.amazon.com/Schumacher-SC1309-Battery-Charger-Maintainer/dp/B0756MDZ1F/ref=sr_1_26?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-26&ts_id=387679011,B0756MDZ1F,Schumacher,Jump Sarter,158.39,101-200$,340,53853,0.283797503922617,SC1309,,29.9,20.1-40pound,31 x 12 x 12 inches,>1000sq.inch,200 Amps,101-200AMP,,Mexico,,non portable,,
