product_title,count_of_reviews,product_url,part_number,product_description,center_electrode_core_material,center_electrode_tip_material,electrical_terminal_type,ground_electrode_core_material,ground_electrode_quantity,ground_electrode_tip_design,ground_electrode_tip_material,hex_size,pre_gap_size,reach,resistance,resistor_type,seat_type,thread_diameter,electrode_core_material,electrode_tip_material,ground_configuration,manufacturer_heat_range,skuid,units_sold,product_attributes,product_reviews,product_warranty,sale_price,price_tier,search_term,category,revenue,market_share
ACDelco Double Platinum Spark Plug,210 reviews,https://shop.advanceautoparts.com/p/acdelco-double-platinum-spark-plug-41-962/10422946-P?searchTerm=Spark%20Plugs,Part # 41-962,[],NA,Platinum,NA,NA,1,Platinum Alloy Pad,NA,16mm,.040 in,.689 in,NA,Yes,Tapered,0.551 in,NA,NA,Single Strap,14,10422946,1717,Double Platinum Spark Plug,(210 reviews),7 YR REPLACEMENT IF DEFECTIVE,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,15092.43,0.064685869
ACDelco Iridium Spark Plug,No Reviews,https://shop.advanceautoparts.com/p/acdelco-iridium-spark-plug-41-162/11978364-P?searchTerm=Spark%20Plugs,Part # 41-162,[],NA,Iridium,NA,NA,1,Platinum Alloy Pad,NA,16mm,.040 in,.689 in,NA,Yes,Tapered,NA,NA,NA,Single Strap,NA,11978364,1475,Iridium Spark Plug,(0 reviews),7 YR REPLACEMENT IF DEFECTIVE,9.29,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,13702.75,0.058729727
Champion Iridium- Boxed - RER8ZWYCB4,185 reviews,https://shop.advanceautoparts.com/p/champion-iridium-boxed-rer8zwycb4-9407/10095059-P?searchTerm=Spark%20Plugs,Part # 9407,[],NA,Iridium Firing Tip,Removable Nut,Nickel Copper Alloy,1,NA,NA,0.625 in,NA,1.103 in,NA,Yes,NA,0.472 in,NA,NA,NA,8,10095059,1147,Iridium- Boxed - RER8ZWYCB4,(185 reviews),7 YR REPLACEMENT IF DEFECTIVE,9.29,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,10655.63,0.045669828
Motorcraft Spark Plug (HJFS24FP),95 reviews,https://shop.advanceautoparts.com/p/motorcraft-spark-plug-hjfs24fp-sp-509/10419483-P?searchTerm=Spark%20Plugs,Part # SP-509,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10419483,504,Spark Plug (HJFS24FP),(95 reviews),2 YR REPLACEMENT IF DEFECTIVE,9.29,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,4682.16,0.020067649
Autolite Single Platinum Spark Plug,128 reviews,https://shop.advanceautoparts.com/p/autolite-single-platinum-spark-plug-ap5325/11015495-P?searchTerm=Spark%20Plugs,Part # AP5325,[],Platinum,Platinum,Stud,Nickel,1,Tapered,Nickel,16 mm,1.1 mm,26.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,11015495,257,Single Platinum Spark Plug,(128 reviews),4 YR REPLACEMENT IF DEFECTIVE,3.99,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1025.43,0.004394974
ACDelco Iridium Spark Plug,75 reviews,https://shop.advanceautoparts.com/p/acdelco-iridium-spark-plug-41-109/10838402-P?searchTerm=Spark%20Plugs,Part # 41-109,[],Copper,Iridium,NA,NA,1,Single Prong Electrode,NA,16mm,0.043 in,0.984 in,NA,Yes,Conical,0.551 in,NA,NA,Single,6,10838402,451,Iridium Spark Plug,(75 reviews),7 YR REPLACEMENT IF DEFECTIVE,9.29,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,4189.79,0.017957361
NGK Laser Iridium Spark Plug (IZFR6K11),321 reviews,https://shop.advanceautoparts.com/p/ngk-laser-iridium-spark-plug-izfr6k11-6994/15650459-P?searchTerm=Spark%20Plugs,Part # 6994,[],Copper Core,Iridium,NA,Nickel Core,1,Trapezoid,NA,5/8 in,NA,19 mm,NA,NA,Gasket,14 mm,Iridium,Iridium,Standard,6,15650459,446,Laser Iridium Spark Plug (IZFR6K11),(321 reviews),60 DAY REPLACEMENT IF DEFECTIVE,14.29,11-20$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6373.34,0.027316015
Denso Iridium TT Spark Plug (IK20TT),143 reviews,https://shop.advanceautoparts.com/p/denso-iridium-tt-spark-plug-ik20tt-4702/10713003-P?searchTerm=Spark%20Plugs,Part # 4702,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10713003,790,Iridium TT Spark Plug (IK20TT),(143 reviews),1 YR REPLACEMENT IF DEFECTIVE,9.29,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,7339.1,0.031455244
Autolite Single Platinum Spark Plug,126 reviews,https://shop.advanceautoparts.com/p/autolite-single-platinum-spark-plug-ap3924/5394082-P?searchTerm=Spark%20Plugs,Part # AP3924,[],Platinum,Platinum,Stud,Nickel,1,Tapered,Nickel,16 mm,1.1 mm,19.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,5394082,299,Single Platinum Spark Plug,(126 reviews),4 YR REPLACEMENT IF DEFECTIVE,3.99,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1193.01,0.005113218
NGK V-Power Spark Plug,328 reviews,https://shop.advanceautoparts.com/p/ngk-v-power-spark-plug-2262/5390273-P?searchTerm=Spark%20Plugs,Part # 2262,[],Copper Core,Nickel w/ V-groove,NA,Nickel Core,1,Standard,NA,05-Aug,NA,19 mm,NA,NA,Gasket,14 mm,nickel with V groove,nickel with V groove,Standard,5,5390273,394,V-Power Spark Plug,(328 reviews),60 DAY REPLACEMENT IF DEFECTIVE,3.49,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1375.06,0.005893481
