product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type
yuasa yuam32x61 ytx16-bs-1 battery,https://www.amazon.com/Yuasa-YUAM32X61-YTX16-BS-1-Battery/dp/B000WJYYSS/ref=sr_1_59?dchild=1&qid=1633495538&s=automotive&sr=1-59,B000WJYYSS,Yuasa,Batteries,82.91,51-100$,30,2487,0.07278904377088807,YUAM32X61,K26012-1017,12.6,10.1-20pound,9.5 x 6.75 x 6.25 inches,2011-500sq.inch,NA,NA,12 Volts,NA,ATV
power-sonic (ptx12bs-fs) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PTX12BS-FS-Maintenance-Powersport-Battery/dp/B00I1KMML6/ref=sr_1_61?dchild=1&qid=1633495538&s=automotive&sr=1-61,B00I1KMML6,Power-Sonic,Batteries,66.4,51-100$,23,1527,0.044691946054743095,PTX12BS-FS,NA,8.6,5.1-10pound,6.1 x 5.5 x 3.7 inches,101-200sq.inch,NA,NA,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
expertpower 12 volt 18 ah rechargeable battery with nuts & bolts included || exp12180,https://www.amazon.com/ExpertPower-EXP12180-2-lead_acid_battery-2-Pack/dp/B00SDKE9R4/ref=sr_1_62?dchild=1&qid=1633495538&s=automotive&sr=1-62,B00SDKE9R4,ExpertPower,Batteries,84,51-100$,25,2100,0.061462401254067135,EXP12180,RBC7,12,10.1-20pound,7.1 x 6.6 x 3 inches,101-200sq.inch,18 Amps,0-20AMP,12 Volts,NA,Scooter
yuasa yuam2620a 6n2-2a battery,https://www.amazon.com/Yuasa-YUAM2620A-Lead_Acid_Battery/dp/B000GZV89G/ref=sr_1_65?dchild=1&qid=1633495538&s=automotive&sr=1-65,B000GZV89G,Yuasa,Batteries,22.99,0-50$,39,897,0.026253225678522958,YUAM2620A,NA,1,0-1pound,4.6 x 4.3 x 2.8 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Scooter
yuasa yuam262c3 6n2a-2c-3 battery multi-colored,https://www.amazon.com/Yuasa-YUAM262C3-Lead_Acid_Battery/dp/B000GZX9PW/ref=sr_1_66?dchild=1&qid=1633495538&s=automotive&sr=1-66,B000GZX9PW,Yuasa,Batteries,24.99,0-50$,23,575,0.016828990819566,YUAM262C3,NA,1,0-1pound,4.8 x 4.3 x 3 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
power-sonic (ptx4lbs-fs) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PTX4LBS-FS-Maintenance-Powersport-Battery/dp/B00I1KMLTO/ref=sr_1_67?dchild=1&qid=1633495538&s=automotive&sr=1-67,B00I1KMLTO,Power-Sonic,Batteries,24.77,0-50$,38,941,0.02754100932384627,PTX4LBS-FS,NA,2.9,2.1-5pound,5 x 3.75 x 3 inches,51-100sq.inch,NA,NA,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
power-sonic (ptx14ah-bs) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PTX14AH-BS-Maintenance-Powersport-Battery/dp/B00I1KML6W/ref=sr_1_68?dchild=1&qid=1633495538&s=automotive&sr=1-68,B00I1KML6W,Power-Sonic,Batteries,78.24,51-100$,40,3130,0.091608245678681,PTX14AH-BS,NA,6,5.1-10pound,7 x 6.25 x 6 inches,2011-500sq.inch,NA,NA,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
yuasa yuam2620b 6n2-2a-4 battery multi-colored 1,https://www.amazon.com/Yuasa-YUAM2620B-Lead_Acid_Battery/dp/B000WK43GK/ref=sr_1_74?dchild=1&qid=1633495610&s=automotive&sr=1-74,B000WK43GK,Yuasa,Batteries,25.99,0-50$,34,884,0.025872744146950163,YUAM2620B,NA,0.95,0-1pound,4.8 x 4.3 x 2.7 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam2273b 12n7-3b battery,https://www.amazon.com/Yuasa-YUAM2273B-12N7-3B-Battery/dp/B000GZRB7O/ref=sr_1_75?dchild=1&qid=1633495610&s=automotive&sr=1-75,B000GZRB7O,Yuasa,Batteries,37.29,0-50$,28,1044,0.03055559376630766,YUAM2273B,12N-73BG0-00-00,4.9,2.1-5pound,3.5 x 6 x 6.75 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Cruiser/Touring
yuasa yuam2221y yb12al-a battery,https://www.amazon.com/Yuasa-YUAM2221Y-YB12AL-A-Battery/dp/B000GTXZ5C/ref=sr_1_76?dchild=1&qid=1633495610&s=automotive&sr=1-76,B000GTXZ5C,Yuasa,Batteries,51.3,51-100$,30,1539,0.045043159776194906,YUAM2221Y,YUAM2221Y,7,5.1-10pound,3.5 x 7 x 6.5 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Scooter
yuasa yuam2644a 6n4-2a-4 battery multi-colored,https://www.amazon.com/Yuasa-YUAM2644A-Lead_Acid_Battery/dp/B000GZX9K2/ref=sr_1_78?dchild=1&qid=1633495610&s=automotive&sr=1-78,B000GZX9K2,Yuasa,Batteries,27.89,0-50$,34,948,0.027745883994693164,YUAM2644A,NA,1.28,1.1-2pound,4.4 x 4.3 x 3.2 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam22161 yb16b-a1 battery,https://www.amazon.com/Yuasa-YUAM22161-YB16B-A1-Battery/dp/B000GZRBR4/ref=sr_1_85?dchild=1&qid=1633495610&s=automotive&sr=1-85,B000GZRBR4,Yuasa,Batteries,82.47,51-100$,30,2474,0.07240856223931527,YUAM22161,NA,8.4,5.1-10pound,7.4 x 6.2 x 3.9 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Street Bike
odyssey pc545mj powersports battery,https://www.amazon.com/ODYSSEY-PC545MJ-Odyssey-Powersports-Battery/dp/B000XS9W9O/ref=sr_1_88?dchild=1&qid=1633495610&s=automotive&sr=1-88,B000XS9W9O,ODYSSEY,Batteries,133.98,101-200$,21,2814,0.08235961768044996,ODY,PC545MJ,12.6,10.1-20pound,NA,NA,12 Amps,0-20AMP,12 Volts,USA,"ATV, Motorcycle, Snowmobile, Gyrocopter, Personal Watercraft"
power-sonic (pix30lbs-fs) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PIX30LBS-FS-Maintenance-Powersport-Battery/dp/B00I1KMO0U/ref=sr_1_97?dchild=1&qid=1633495653&s=automotive&sr=1-97,B00I1KMO0U,Power-Sonic,Batteries,126.44,101-200$,30,3793,0.11101280378889362,PIX30LBS-FS,NA,19.4,10.1-20pound,7.5 x 7.1 x 5.4 inches,2011-500sq.inch,NA,NA,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
yuasa yuam221lb yb10l-b battery,https://www.amazon.com/Yuasa-YUAM221LB-YB10L-B-Battery/dp/B000GU1152/ref=sr_1_99?dchild=1&qid=1633495653&s=automotive&sr=1-99,B000GU1152,Yuasa,Batteries,52.39,51-100$,30,1572,0.046008997510187395,YUAM221LB,NA,7.1,5.1-10pound,4 x 6.25 x 6.75 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,ATV
yuasa yuam720bh-p ytx20hl-pw battery,https://www.amazon.com/Yuasa-YUAM720BH-P-Lead_Acid_Battery/dp/B000N5U5V6/ref=sr_1_118?dchild=1&qid=1633495653&s=automotive&sr=1-118,B000N5U5V6,Yuasa,Batteries,94.42,51-100$,30,2833,0.08291570607274866,YUAM720BH-P,NA,14.6,10.1-20pound,6 x 3 x 6 inches,101-200sq.inch,NA,NA,12 Volts,NA,"Motorcycle, ATV, UTV, Snowmobile, Personal Watercraft"
yuasa yuam228a3 y50-n18l-a3 battery,https://www.amazon.com/Yuasa-YUAM228A3-Y50-N18L-A3-Battery/dp/B000GZRBVA/ref=sr_1_134?dchild=1&qid=1633495711&s=automotive&sr=1-134,B000GZRBVA,Yuasa,Batteries,69.23,51-100$,30,2077,0.06078924162128448,YUAM228A3,NA,11.8,10.1-20pound,8.8 x 7.1 x 4.4 inches,2011-500sq.inch,NA,NA,12 Volts,USA,Street Bike
optima opt8016-103 batteries d34m bluetop starting and deep cycle marine battery,https://www.amazon.com/dp/B00075OSCO,B00075OSCO,Optima,Batteries,299.99,201-400$,383,114896,3.362754311660617,NA,8016-103,43.5,>40pound,10 x 6.88 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,NA,"Trailer, Boat"
optima batteries opt8014-045 8014-045 d34/78 yellowtop dual purpose battery,https://www.amazon.com/dp/B000MSBUA4,B000MSBUA4,Optima,Batteries,294.99,201-400$,177,52213,1.5281601698469558,NA,8014-045,43.5,>40pound,10 x 6.88 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,NA,NA
optima batteries 8020-164 35 redtop starting battery,https://www.amazon.com/dp/B000MS9VZK,B000MS9VZK,Optima,Batteries,244.99,201-400$,385,94321,2.7605691184213645,NA,NA,31.7,20.1-40pound,9.3 x 6.8 x 7.6 inches,2011-500sq.inch,NA,NA,12 Volts,NA,NA
optima batteries 8025-160 25 redtop starting battery,https://www.amazon.com/dp/B000MSBU9U,B000MSBU9U,Optima,Batteries,224.99,201-400$,183,41173,1.2050435461112885,NA,NA,31.7,20.1-40pound,9.32 x 6.8 x 7.62 inches,2011-500sq.inch,NA,NA,12 Volts,NA,NA
optima batteries opt8010-044 6v redtop starting battery,https://www.amazon.com/dp/B00099HVN6,B00099HVN6,Optima,Batteries,224.99,201-400$,126,28349,0.8297131491197852,NA,8010-044,18.5,10.1-20pound,10 x 3.55 x 7.81 inches,2011-500sq.inch,NA,NA,6 Volts,NA,NA
optima batteries opt8022-091 8022-091 75/25 redtop starting battery,https://www.amazon.com/dp/B00075OSBK,B00075OSBK,Optima,Batteries,224.99,201-400$,200,44998,1.3169929198240538,NA,BCFJ8022-091,33.1,20.1-40pound,9.32 x 6.8 x 7.62 inches,2011-500sq.inch,NA,NA,12 Volts,NA,NA
optima batteries 8006-006 34m bluetop marine starting battery,https://www.amazon.com/dp/B000AMD6CC,B000AMD6CC,Optima,Batteries,284.97,201-400$,83,23653,0.6922715127916428,NA,NA,38.4,20.1-40pound,10 x 6.88 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,NA,"Trailer, Boat"
optima batteries dh6 yellowtop dual purpose sealed agm battery,https://www.amazon.com/dp/B07QSBXDWB,B07QSBXDWB,Optima,Batteries,309.97,201-400$,60,18598,0.5443227326300669,NA,group 48,54,>40pound,NA,NA,NA,NA,12 Volts,NA,NA
optima batteries opt8073-167 d51r yellowtop dual purpose battery,https://www.amazon.com/dp/B0013ZGZ9Q,B0013ZGZ9Q,Optima,Batteries,264.99,201-400$,77,20404,0.5971803977085646,NA,9073-167,26,20.1-40pound,9.21 x 4.98 x 8.94 inches,2011-500sq.inch,NA,NA,12 Volts,NA,NA
optima batteries opt8003-151 8003-151 34r redtop starting battery,https://www.amazon.com/dp/B000MS9VZA,B000MS9VZA,Optima,Batteries,274.99,201-400$,53,14574,0.4265490647032259,NA,BCFJ8003-151,37.9,20.1-40pound,10 x 6.88 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,NA,NA
optima batteries opt8071-167 d51 yellowtop dual purpose battery,https://www.amazon.com/dp/B00075OSD8,B00075OSD8,Optima,Batteries,264.99,201-400$,33,8745,0.25594699950800814,NA,8071-167,19.36,10.1-20pound,9.21 x 4.98 x 8.94 inches,2011-500sq.inch,NA,NA,12 Volts,NA,NA
optima batteries 8037-127 d27f yellowtop starting and deep cycle battery,https://www.amazon.com/dp/B004SRTN3Q,B004SRTN3Q,Optima,Batteries,334.99,201-400$,30,10050,0.29414149171589266,NA,8037-127,54,>40pound,12.2 x 6.8 x 8.7 inches,501-1000sq.inch,NA,NA,12 Volts,NA,"Passenger Car, Truck"
optima opt8042-218 batteries 8042-218 d75/25 yellowtop dual purpose battery,https://www.amazon.com/dp/B00075OSDS,B00075OSDS,Optima,Batteries,284.99,201-400$,26,7410,0.21687447299649404,NA,BCFJ8042-218,37.8,20.1-40pound,9.32 x 6.8 x 7.62 inches,2011-500sq.inch,48 Amps,21-50AMP,12 Volts,NA,NA
optima (8171-767 ds46b24r yellow top prius battery,https://www.amazon.com/dp/B006VFEJJQ,B006VFEJJQ,Optima,Batteries,264.97,201-400$,104,27557,0.8065330435039656,NA,8171-767,26,20.1-40pound,9.94 x 5.06 x 8.94 inches,2011-500sq.inch,38 Amps,21-50AMP,12 Volts,NA,"Passenger Car, Truck"
optima batteries opt8040-218 d35 yellowtop dual purpose battery,https://www.amazon.com/dp/B000MSDKMA,B000MSDKMA,Optima,Batteries,264.99,201-400$,141,37364,1.093562457360459,NA,8040-218,36.4,20.1-40pound,9.38 x 6.75 x 7.69 inches,2011-500sq.inch,NA,NA,12 Volts,NA,NA
optima batteries 8004-003 34/78 redtop starting battery,https://www.amazon.com/dp/B00075OSC4,B00075OSC4,Optima,Batteries,254.99,201-400$,243,61963,1.8135213185265529,NA,8004-003,38.8,20.1-40pound,10 x 6.88 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,NA,NA
12v 100ah lithium battery built-in 100a bms lifepo4 battery perfect for replacing most of backup power home energy storage and off-grid etc.,https://www.amazon.com/dp/B08FMTRYPT,B08FMTRYPT,Optima,Batteries,359.99,201-400$,775,278992,8.165484881273665,NA,NA,23.8,20.1-40pound,12.95 x 6.77 x 8.43 inches,501-1000sq.inch,NA,NA,NA,NA,NA
lifepo4 deep cycle battery 12v 100ah with built-in bms perfect for replace most of backup power and off grid applications,https://www.amazon.com/dp/B084DB36KW,B084DB36KW,Optima,Batteries,399.99,201-400$,2014,805580,23.57756247726257,NA,NA,25.6,20.1-40pound,13 x 6.82 x 8.48 inches,501-1000sq.inch,NA,NA,12 Volts,NA,Trailer
acdelco gold b24r 24 month warranty hybrid vehicle agm bci group 51 battery,https://www.amazon.com/dp/B010GKJ8F6,B010GKJ8F6,Optima,Batteries,226.39,201-400$,160,36222,1.060138618202295,NA,88864058,31.5,20.1-40pound,18.5 x 11.4 x 9.5 inches,>1000sq.inch,NA,NA,12 Volts,NA,Truck
gsi optima battery box tray truck battery mount fit for optima battery red 34/78 yellow 34/78,https://www.amazon.com/dp/B071Z9SN7W,B071Z9SN7W,Optima,Batteries,59.95,51-100$,77,4616,0.13510021151846374,NA,NA,5.34,5.1-10pound,NA,NA,NA,NA,NA,NA,"Car, Classic Truck, Truck"
acdelco gold 48agm 36 month warranty agm bci group 48 battery black,https://www.amazon.com/dp/B008FWCLHU,B008FWCLHU,Optima,Batteries,175.7,101-200$,250,43925,1.2855885595642376,NA,88864541,45.5,>40pound,11.9 x 7.5 x 7.6 inches,501-1000sq.inch,NA,NA,12 Volts,NA,Truck
pilida billet aluminum battery tray: hold down optima batteries red yellow blue top 34 34/78 d34 d34/78 34m d34m,https://www.amazon.com/dp/B08QTLSGHK,B08QTLSGHK,Optima,Batteries,52.49,51-100$,72,3779,0.11060305444719985,NA,NA,2.11,2.1-5pound,NA,NA,NA,NA,NA,NA,NA
odyssey 34/78-pc1500dt automotive and ltv battery,https://www.amazon.com/dp/B000TCTD3Y,B000TCTD3Y,Optima,Batteries,305.98,201-400$,55,16829,0.49254797652604554,NA,34/78-PC1500DT,51.5,>40pound,10.85 x 6.99 x 7.82 inches,501-1000sq.inch,62 Amps,51-100AMP,12 Volts,NA,Passenger Car
odyssey pc925 automotive and ltv battery,https://www.amazon.com/dp/B0002ILK72,B0002ILK72,Optima,Batteries,184.16,101-200$,255,46961,1.3744456310915458,NA,PC925,26,20.1-40pound,NA,NA,30 Amps,21-50AMP,12 Volts,NA,Passenger Car
odyssey pc1200mjt automotive and ltv battery,https://www.amazon.com/dp/B002496GK8,B002496GK8,Optima,Batteries,282.21,201-400$,37,10442,0.30561447328331853,NA,PC1200MJT,38.2,20.1-40pound,NA,NA,40 Amps,21-50AMP,12 Volts,NA,Passenger Car
odyssey batteries 34r-pc1500-a group 34 automotive/light truck battery,https://www.amazon.com/dp/B008FY5UF8,B008FY5UF8,Optima,Batteries,295.99,201-400$,66,19535,0.5717466707134292,NA,NA,51.5,>40pound,NA,NA,NA,NA,12 Volts,NA,Van
xs power d3400 xs series 12v 3300 amp agm high output battery with m6 terminal bolt,https://www.amazon.com/dp/B005FYJ5B6,B005FYJ5B6,Optima,Batteries,340.3,201-400$,191,64997,1.9023198544336195,NA,D3400,48,>40pound,NA,NA,NA,NA,12 Volts,NA,"Passenger Car, Boat"
wirthco 80305 30400 battery doctor side mount long stud terminal battery boltbrass,https://www.amazon.com/dp/B000CQFWRS,B000CQFWRS,Optima,Batteries,6.56,0-50$,185,1214,0.035531121486875,NA,30400,0.05,0-1pound,6 x 6 x 5 inches,101-200sq.inch,NA,NA,NA,China,NA
vgate 6x00 (2/0) awg gauge lead-acid battery terminals clamp - positive and negative (+/-)(pair) for tapered top post,https://www.amazon.com/dp/B085HHZV26,B085HHZV26,Optima,Batteries,37.99,0-50$,204,7750,0.22682552843762865,NA,NA,0.375,0-1pound,3.94 x 1.77 x 0.75 inches,1-50sq.inch,NA,NA,NA,NA,NA
1998 1999 2000 2001 key fob keyless entry remote fits chevy astro blazer s10 silverado suburban tahoe/gmc jimmy safari sierra sonoma yukon/oldsmobile bravada (15732803),https://www.amazon.com/dp/B06XSLHB7P,B06XSLHB7P,Optima,Batteries,12.95,0-50$,90,1166,0.034126266601067747,NA,"15732803, KOBUT1BT",0.0625,0-1pound,1.25 x 0.5 x 2 inches,1-50sq.inch,NA,NA,NA,NA,NA
mmg ytx4l-bs 4l-bs lithium ion sealed high performance powersports battery 12v 120cca motorcycle scooter atv factory activated ready to use (mmg1),https://www.amazon.com/dp/B00BM7QEIC,B00BM7QEIC,Optima,Batteries,77.9,51-100$,45,3506,0.10261294228417113,NA,"BATTERY SUPPLIER CROSS REFERENCE:, Interstate CYTX4L-BS, Motocross M62X4B, Napa 740-1865, Power-Sonic PTX4L-BS, Exide 4LBS, JSB GT4L-BS, GS GTX4L-BS / GT4L-BS, Sears 44015/44022, Walmart ES4L-BS, Yacht CT4L-BS, Yuasa YTX4L-BS",0.039625,0-1pound,5 x 5 x 3 inches,51-100sq.inch,NA,NA,12 Volts,NA,"ATV, Scooter, Street Bike, Dirt Bike"
odyssey 34-pc1500t automotive and ltv battery,https://www.amazon.com/dp/B00249CSS2,B00249CSS2,Optima,Batteries,295.99,201-400$,36,10656,0.3118777846492092,NA,34-PC1500T,49.5,>40pound,NA,NA,NA,NA,12 Volts,NA,Passenger Car
ict billet optima billet aluminum battery tray racing race trunk relocation box hold down mount red yellow blue top 34 34/78 d34 d34/78 34m d34m made in america 551183,https://www.amazon.com/dp/B011IT8F3K,B011IT8F3K,Optima,Batteries,62.99,51-100$,28,1764,0.051628417053416385,NA,551183,1.93,1.1-2pound,12.2 x 8.9 x 1 inches,101-200sq.inch,NA,NA,NA,USA,NA
12v lithium ion 200ah deep cycle lifepo4 energy storage rechargeable battery built in 100a bms maintenance-free widely used in solar wind system rv camper trailer marine boat off-gird and more,https://www.amazon.com/dp/B08S7799BD,B08S7799BD,Optima,Batteries,699.99,>400$,630,440994,12.906928656493372,NA,NA,50,>40pound,19.01 x 6.69 x 9.45 inches,>1000sq.inch,NA,NA,12.8 Volts,NA,"RV / Camper / Trailer, Marine / Boat, Solar / Wind system"
delphi bu9065 maxstart agm premium automotive battery group size 65,https://www.amazon.com/dp/B01DLGRPDY,B01DLGRPDY,Optima,Batteries,222.23,201-400$,30,6667,0.19512849007660263,NA,NA,47.5,>40pound,NA,NA,NA,NA,12 Volts,NA,Passenger Car
odyssey 65-pc1750t automotive and ltv battery,https://www.amazon.com/dp/B00249GW9S,B00249GW9S,Optima,Batteries,299.99,201-400$,64,19199,0.5619126865127785,NA,65-PC1750T,58,>40pound,1 x 1 x 1 inches,1-50sq.inch,65 Amps,51-100AMP,12 Volts,NA,Passenger Car
universal negative & positive battery cable terminals top - car battery cable terminal clamps connectors - durable & adjustable terminal assortment kit for carts trucks & vans,https://www.amazon.com/dp/B08N5H77Y1,B08N5H77Y1,Optima,Batteries,14.95,0-50$,656,9807,0.2870294138564935,NA,NA,0.7,0-1pound,NA,NA,NA,NA,NA,NA,NA
schumacher fully automatic battery charger and maintainer 15 amp/3 amp 6v/12v - for marine and automotive batteries,https://www.amazon.com/dp/B0797KK3N2,B0797KK3N2,Optima,Batteries,53.67,51-100$,3276,175823,5.145954178901831,NA,NA,3.05,2.1-5pound,9.96 x 4.29 x 10.03 inches,2011-500sq.inch,NA,NA,NA,Mexico,NA
optima batteries opt8012-021 d34 yellowtop dual purpose battery,https://www.amazon.com/dp/B000AMDDBQ,B000AMDDBQ,Optima,Batteries,294.99,201-400$,26,7670,0.22448410362794993,NA,8012-021,42.9,>40pound,10 x 6.88 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,NA,NA
acdelco gold 94ragm 36 month warranty agm bci group 94r battery,https://www.amazon.com/dp/B006N91C2M,B006N91C2M,Optima,Batteries,163.99,101-200$,193,31650,0.9263261903291545,NA,88864542,51.6,>40pound,12.4 x 6.9 x 7.5 inches,501-1000sq.inch,NA,NA,12 Volts,NA,NA
schumacher sc1281 100 amp 30 amp 6v/12v fully automatic smart battery charger 100a engine starter and 30a boost maintainer and auto desulfator advanced diagnostic testing,https://www.amazon.com/dp/B07BLLRM8R,B07BLLRM8R,Optima,Batteries,79.94,51-100$,3018,241259,7.061122601978563,NA,NA,12.65,10.1-20pound,11 x 10 x 8 inches,501-1000sq.inch,NA,NA,120 Volts,Mexico,NA
installgear 2/4/8/10 gauge awg positive & negative battery terminal clamp and shims (pair),https://www.amazon.com/dp/B00NQ7U982,B00NQ7U982,Optima,Batteries,14.99,0-50$,152,2278,0.06667207145560233,NA,NA,1.1,1.1-2pound,NA,NA,NA,NA,12 Volts,NA,NA
odyssey pc680 battery red top,https://www.amazon.com/dp/B0002ILK6I,B0002ILK6I,Optima,Batteries,130.83,101-200$,343,44875,1.3133929791791725,NA,PC680,15.03,10.1-20pound,7.15 x 3 x 6.65 inches,101-200sq.inch,18 Amps,0-20AMP,12 Volts,NA,"Motorcycle, ATV, Snowmobile, Personal Watercraft"
delphi bu9094r maxstart agm premium automotive battery group size 94r (reverse terminal),https://www.amazon.com/dp/B01DLGRPOS,B01DLGRPOS,Optima,Batteries,219.39,201-400$,80,17551,0.5136793354333963,NA,NA,52,>40pound,NA,NA,NA,NA,12 Volts,NA,Passenger Car
interstate batteries cytx14ah-bs cycle-tron powersports battery 12v 12ah motorcycle atv battery high-performance rechargeable sealed agm,https://www.amazon.com/dp/B08W2JKD9X,B08W2JKD9X,Optima,Batteries,87.71,51-100$,74,6491,0.1899773554953094,NA,NA,11.88,10.1-20pound,5.31 x 3.5 x 6.56 inches,101-200sq.inch,NA,NA,12 Volts,NA,"Motorcycles, All-Terrain-Vehicles (ATVs), Snowmobiles, Jet Skis, Sea Doos, Scooters, 4 Wheelers, Dirt Bikes, Utility Vehicles (UTVs), Go-Karts"
delphi bu9034r maxstart agm premium automotive battery group size 24f / 34r (reverse terminal),https://www.amazon.com/dp/B01DLGRPAC,B01DLGRPAC,Optima,Batteries,223.59,201-400$,30,6708,0.19632847029156297,NA,NA,41.9,>40pound,NA,NA,NA,NA,12 Volts,NA,Passenger Car
odyssey 34m-pc1500st-m trolling thunder marine dual purpose battery,https://www.amazon.com/dp/B000T9BU5Q,B000T9BU5Q,Optima,Batteries,316.15,201-400$,23,7271,0.21280624738967716,NA,NA,49.5,>40pound,13.25 x 11 x 9.5 inches,>1000sq.inch,NA,NA,12 Volts,NA,Boat
mmg lithium ion sealed battery 12v 420 cca quad terminal compatible with ytx20l-bs ytx20h-bs ytx20hl-bs ytx24hl-bs and yb16cl-b (mmg6),https://www.amazon.com/dp/B075FC3WJ4,B075FC3WJ4,Optima,Batteries,209.9,201-400$,32,6717,0.19659188058265184,NA,"Interstate YB16CL-B, Koyo YB16CL-B, Motocross M3S6CL, WalMart ES16CLB, Yacht CB16CL-B",3,2.1-5pound,7 x 4 x 6 inches,101-200sq.inch,NA,NA,12 Volts,NA,"ATV, Adventure, UTV, Cruiser/ Touring, Street Bike, Snowmobile, Personal Watercraft"
battery tender engine start battery: lithium motorcycle battery with smart battery management system (bms) - 12v 4.5 ah 270 cca lightweight starting batteries for motorcycles and atvs - btl12a270cw,https://www.amazon.com/dp/B07JQWFS7Z,B07JQWFS7Z,Optima,Batteries,124.95,101-200$,163,20367,0.5960974887340882,NA,BTL12A270CW,2.2,2.1-5pound,5.94 x 3.43 x 3.66 inches,51-100sq.inch,NA,NA,12 Volts,NA,"ATV, Street_touring_motorcycles, Off Road Motorcycle, Street_sport_motorcycles"
nilight 5 gang rocker switch panel pre-wired aluminum switch panel with dual usb cigarette lighter socket voltmeter12v-24v dc switch panel with night glow stickers for cars rvs trucks 90118h,https://www.amazon.com/dp/B08KT7ZJVZ,B08KT7ZJVZ,Optima,Batteries,33.2,0-50$,70,2324,0.06801839072116762,NA,NA,1.06,1.1-2pound,NA,NA,NA,NA,12 Volts,China,NA
mmg ytz14s z14s lithium ion sealed factory activated powersports battery 12v cca 300 for motorcycle bmw honda ktm yamaha (mmg4),https://www.amazon.com/dp/B00O179I9W,B00O179I9W,Optima,Batteries,114.9,101-200$,109,12524,0.36655005395520796,NA,"GS-JSB-GTZ10S, Koyo-KTZ10S, Motocross-M7210A, Power-Sonic-PTZ10S, Sears-44210, Yacht-CTZ10S, Yuasa-YTZ10S, Yuasa-YTZ12S, GS-JSB-GTZ12S, Koyo-KTZ12S, Motocross-M7212A, Power-Sonic-PTZ12S, Sears-44215, Yacht-CTZ12S, Yuasa-YTZ14S, GS-JSB-GTZ14S, Koyo-KTZ14S, Motocross-M72Z14, Power-Sonic-PTZ14S, Sears-44217, Yacht-CTZ14S, Yuasa-YTZ14S cht-CTZ14S",2,1.1-2pound,6 x 4 x 5 inches,101-200sq.inch,NA,NA,12 Volts,NA,"Motorcycle, Bike"
heavy duty battery filler with auto shut and drip-free valve | 2-quart capacity fast and extra safe. battery filler bottle for golf cart and automotive tools. avoid the mess when serving your units,https://www.amazon.com/dp/B01CEZGQK6,B01CEZGQK6,Optima,Batteries,17.99,0-50$,365,6566,0.19217244125438324,NA,NA,0.41875,0-1pound,NA,NA,NA,NA,NA,NA,Truck
fastronix premium high current 3/8' thru panel battery terminal connectors,https://www.amazon.com/dp/B079K5HB79,B079K5HB79,Optima,Batteries,29.99,0-50$,247,7408,0.21681593737625204,NA,NA,0.55,0-1pound,NA,NA,440 Amps,201-500AMP,12 Volts,NA,NA
pilida universal billet battery tray hold down red yellow blue top 34 34/78 d34 d34/78 34m d34m aluminum battery box,https://www.amazon.com/dp/B08QVCZNTW,B08QVCZNTW,Optima,Batteries,50.79,51-100$,73,3708,0.10852503992860994,NA,NA,3.17,2.1-5pound,NA,NA,NA,NA,NA,NA,NA
ict billet universal billet battery tray hold down trunk relocation box optima race racing mount red yellow blue top 34 34/78 d34 d34/78 34m d34m made in america 551181,https://www.amazon.com/dp/B011ISPZ7A,B011ISPZ7A,Optima,Batteries,69.99,51-100$,73,5109,0.149529241908109,NA,551181,6.25e-4,0-1pound,12.1 x 8.8 x 1.3 inches,101-200sq.inch,NA,NA,NA,USA,NA
