product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type
motobatt mb12u (12v 15 amp) 160cca factory activated quadflex agm battery,https://www.amazon.com/MotoBatt-MB12U-Lead_Acid_Battery/dp/B003YMSDJQ/ref=sr_1_14?dchild=1&qid=1633495479&s=automotive&sr=1-14,B003YMSDJQ,MotoBatt,Batteries,79.41,51-100$,73,5797,0.16966549527134625,NA,"12N124A 12N12A4A1 12N-12A4A-1Y-00, 1UY-82110-60-00 1UY-82110-61-00, 1VJ-82110-61-00 26012-045 26012-1004, 26012-1005 26012-1043 26012-1044, 26012-1050 26012-1061 26012-1070",9.7,5.1-10pound,5.28 x 3.15 x 6.34 inches,101-200sq.inch,15 amp,0-20AMP,12 Volts,China,NA
yuasa yuam720bh ytx20hl battery,https://www.amazon.com/Yuasa-YUAM720BH-Lead_Acid_Battery/dp/B002VVI91I/ref=sr_1_15?dchild=1&qid=1633495479&s=automotive&sr=1-15,B002VVI91I,Yuasa,Batteries,107.99,101-200$,60,6479,0.18962614177385756,YUAM720BH,YTX20HL,15,10.1-20pound,8.75 x 7.25 x 4.5 inches,2011-500sq.inch,NA,NA,12 Volts,USA,NA
power-sonic (ptx14-bs) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PTX14-BS-Maintenance-Powersport-Battery/dp/B00I1KML9E/ref=sr_1_16?dchild=1&qid=1633495479&s=automotive&sr=1-16,B00I1KML9E,Power-Sonic,Batteries,50.67,51-100$,90,4560,0.13346121415168863,PTX14-BS,NA,10.4,10.1-20pound,7 x 6 x 6 inches,2011-500sq.inch,NA,NA,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
odyssey pc545 powersports battery red top,https://www.amazon.com/ODYSSEY-PC545-Odyssey-Powersports-Battery/dp/B0002ILK7M/ref=sr_1_17?dchild=1&qid=1633495479&s=automotive&sr=1-17,B0002ILK7M,ODYSSEY,Batteries,111.06,101-200$,87,9662,0.28278558138895077,ODY,PC545,11.37,10.1-20pound,3.15 x 1.69 x 2.72 inches,1-50sq.inch,12 Amps,0-20AMP,12 Volts,USA,"ATV, Motorcycle, Snowmobile, Gyrocopter, Personal Watercraft"
acdelco gold atx14bs 12 month warranty powersports agm jis 14-bs battery,https://www.amazon.com/ACDelco-ATX14BS-Specialty-Powersports-Battery/dp/B007IPKYXS/ref=sr_1_18?dchild=1&qid=1633495479&s=automotive&sr=1-18,B007IPKYXS,ACDelco,Batteries,72.55,51-100$,63,4571,0.13378316006301946,NA,88863514,10.7,10.1-20pound,6.7 x 6.7 x 6.3 inches,2011-500sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
yuasa yuam2660b 6n6-3b battery,https://www.amazon.com/Yuasa-YUAM2660B-Lead_Acid_Battery/dp/B000GZRB4W/ref=sr_1_19?dchild=1&qid=1633495479&s=automotive&sr=1-19,B000GZRB4W,Yuasa,Batteries,23.99,0-50$,86,2063,0.06037949227959071,YUAM2660B,NA,1.85,1.1-2pound,5.3 x 5.3 x 2.9 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam262ac 6n2a-2c battery,https://www.amazon.com/Yuasa-YUAM262AC-Lead_Acid_Battery/dp/B000GU00RC/ref=sr_1_20?dchild=1&qid=1633495479&s=automotive&sr=1-20,B000GU00RC,Yuasa,Batteries,24.99,0-50$,36,900,0.026341029108885913,YUAM262AC,YUAM262AC,0.9,0-1pound,4.3 x 3 x 4.6 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam26b4b 6n4b-2a battery one size,https://www.amazon.com/Yuasa-YUAM26B4B-Lead_Acid_Battery/dp/B000GZV8BO/ref=sr_1_21?dchild=1&qid=1633495479&s=automotive&sr=1-21,B000GZV8BO,Yuasa,Batteries,28.99,0-50$,30,870,0.025462994805256385,YUAM26B4B,NA,1.7,1.1-2pound,5.5 x 4.5 x 2.7 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam227cy yb7c-a battery,https://www.amazon.com/Yuasa-YUAM227CY-YB7C-A-Battery/dp/B000GTXZVG/ref=sr_1_22?dchild=1&qid=1633495479&s=automotive&sr=1-22,B000GTXZVG,Yuasa,Batteries,47.49,0-50$,68,3229,0.09450575888065846,YUAM227CY,YUAM227CY,5,2.1-5pound,4.25 x 6 x 5 inches,101-200sq.inch,NA,NA,12 Volts,NA,Dirt Bike
yuasa yuam7230l yix30l battery,https://www.amazon.com/Yuasa-YUAM7230L-Lead_Acid_Battery/dp/B000WJYWG2/ref=sr_1_23?dchild=1&qid=1633495479&s=automotive&sr=1-23,B000WJYWG2,Yuasa,Batteries,120.53,101-200$,60,7232,0.2116648027949588,YUAM7230L,YUAM7230L P105,7.75,5.1-10pound,5 x 6.87 x 6.56 inches,2011-500sq.inch,30 Amps,21-50AMP,12 Volts,NA,Touring
acdelco gold atx20lbs 12 month warranty powersports agm jis 20l-bs battery,https://www.amazon.com/ACDelco-ATX20LBS-Specialty-Powersports-Battery/dp/B007IPL0PY/ref=sr_1_24?dchild=1&qid=1633495479&s=automotive&sr=1-24,B007IPL0PY,ACDelco,Batteries,87.98,51-100$,79,6950,0.20341128034084122,NA,88863518,13.97,10.1-20pound,6.8 x 3.4 x 6 inches,101-200sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
yuasa yuam2648a 6n4-2a-8 battery,https://www.amazon.com/Yuasa-YUAM2648A-Lead_Acid_Battery/dp/B000WJYSKW/ref=sr_1_25?dchild=1&qid=1633495512&s=automotive&sr=1-25,B000WJYSKW,Yuasa,Batteries,25.99,0-50$,60,1559,0.0456285159786146,YUAM2648A,YUAM2648A,1.3,1.1-2pound,4.7 x 4.4 x 3.3 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam720gz lead_acid_battery,https://www.amazon.com/Yuasa-YUAM720GZ-Lead_Acid_Battery/dp/B007GR42AY/ref=sr_1_26?dchild=1&qid=1633495512&s=automotive&sr=1-26,B007GR42AY,Yuasa,Batteries,131.99,101-200$,45,5940,0.173850792118647,YUAM720GZ,NA,15.18,10.1-20pound,6.89 x 3.43 x 6.1 inches,101-200sq.inch,NA,NA,12 Volts,USA,"Motorcycle, Lawn Mower"
yuasa (yuam6219bl) yt19bl-bs sealed battery,https://www.amazon.com/Yuasa-YUAM6219BL-YT19BL-BS-Sealed-Battery/dp/B00JAXXDAM/ref=sr_1_27?dchild=1&qid=1633495512&s=automotive&sr=1-27,B00JAXXDAM,Yuasa,Batteries,119.99,101-200$,39,4680,0.13697335136620675,YUAM6219BL,NA,12,10.1-20pound,9.2 x 8.5 x 5.8 inches,2011-500sq.inch,NA,NA,12 Volts,Taiwan,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
yuasa yuam2640b 6n4-2a battery multi-colored,https://www.amazon.com/Yuasa-YUAM2640B-Lead_Acid_Battery/dp/B000GZX9JS/ref=sr_1_28?dchild=1&qid=1633495512&s=automotive&sr=1-28,B000GZX9JS,Yuasa,Batteries,22.99,0-50$,60,1379,0.040360310156837415,YUAM2640B,NA,1.3,1.1-2pound,4.8 x 4.3 x 3.4 inches,51-100sq.inch,NA,NA,6 Volts,Taiwan,Dirt Bike
yuasa yuam7212a ytz12s battery,https://www.amazon.com/Yuasa-YUAM7212A-Lead_Acid_Battery/dp/B000WK0ZA8/ref=sr_1_29?dchild=1&qid=1633495512&s=automotive&sr=1-29,B000WK0ZA8,Yuasa,Batteries,135.53,101-200$,50,6777,0.19834794918991094,YUAM7212A,YTZ12S ( Yuasa ),8,5.1-10pound,3.43 x 4.37 x 6 inches,51-100sq.inch,NA,NA,12 Volts,NA,Scooter
