product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,product_warranty.y,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-86-650-cca-86-2/2130013-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,86,650 A,812 A,>500AMP,8.0,9.06,6.812,201-500sq.inch,Top Right,Top Left,95 min,Top Mount,12.0 VDC,32.24,20.1-40pound,,"Battery, Group Size 86, 650 CCA",(235 reviews),3 YR FREE REPLACEMENT,179.99,2130013,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,20,179.99,101-200$,3599.8,0.0066898140000000005
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-36r-650-cca-36r-1/2040000-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,36R,650 A,813 A,>500AMP,8.125,10.375,7.187,501-1000sq.inch,Top Left,Top Right,130 min,Top Mount,12.0 VDC,38.73,20.1-40pound,,"Battery, Group Size 36R, 650 CCA",(340 reviews),2 YR FREE REPLACEMENT,159.99,2040000,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,15,159.99,101-200$,2399.85,0.004459845
DieHard Platinum,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-battery-bci-group-size-78-800-cca-1000-ca-115-rc-78ft-rp/12277122-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,78,800 A,1000 A,>500AMP,,,,,Side Right,Side Left,115 min,Side Mount,12.0 VDC,,,,"Battery, BCI Group Size 78, 800 CCA, 1000 CA, 115 RC",(0 reviews),4 YR REPLACEMENT IF DEFECTIVE,199.99,12277122,4 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,12,199.99,101-200$,2399.88,0.004459901
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-h6-800-cca-925-ca-140-rc-dh6/12023820-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,800 A,925 A,>500AMP,7.5,11.0,6.937,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12.0 VDC,54.0,>40pound,72.0 Ah,"Yellow Top Deep Cycle Battery, Group Size H6, 800 CCA, 925 CA, 140 RC",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,309.99,12023820,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,6,309.99,201-400$,1859.94,0.003456485
Optima,Optima,https://shop.advanceautoparts.com/p/optima-yellow-top-deep-cycle-battery-group-size-35-620-cca-d35/16940021-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,35,620 A,770 A,>500AMP,6.687,9.375,6.75,201-500sq.inch,Top Left,Top Right,100 min,Top Mount,12.0 VDC,36.4,20.1-40pound,,"Yellow Top Deep Cycle Battery, Group Size 35, 620 CCA",(105 reviews),3 YR FREE REPLACEMENT,264.99,16940021,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,264.99,201-400$,1059.96,0.001969814
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-h8-825-cca-93-1/2040034-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,825 A,1000 A,>500AMP,7.5,13.937000000000001,6.937,501-1000sq.inch,Top Left,Top Right,135 min,Top Mount,12.0 VDC,47.41,>40pound,,"Battery, Group Size H8, 825 CCA",(93 reviews),2 YR FREE REPLACEMENT,159.99,2040034,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,10,159.99,101-200$,1599.9,0.00297323
DieHard Marine,DieHard,https://shop.advanceautoparts.com/p/diehard-marine-marine-battery-group-size-27m-800-cca-m27-1/10890045-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,800 A,,,8.812000000000001,12.06,6.812,501-1000sq.inch,Top Left,Top Right,182 min,Top Mount,12.0 VDC,56.21,>40pound,,"Marine Battery, Group Size 27M, 800 CCA",(1 reviews),12 MO FREE REPLACMENT,104.99,10890045,12 MO FREE REPLACMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,3,104.99,101-200$,314.97,0.000585336
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-151r-370-cca-151r/10081210-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,151R,370 A,425 A,201-500AMP,8.875,7.437,4.937,201-500sq.inch,Top Left,Top Right,57 min,Top Mount,12.0 VDC,22.5,20.1-40pound,,"Battery, Group Size 151R, 370 CCA",(76 reviews),3 YR FREE REPLACEMENT,179.99,10081210,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,12,179.99,101-200$,2159.88,0.0040138890000000005
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-27f-710-cca-27f-3/2040183-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,27F,710 A,885 A,>500AMP,8.937000000000001,12.5,6.812,501-1000sq.inch,Top Left,Top Right,165 min,Top Mount,12.0 VDC,49.94,>40pound,,"Battery, Group Size 27F, 710 CCA",(169 reviews),2 YR FREE REPLACEMENT,159.99,2040183,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,18,159.99,101-200$,2879.82,0.005351814
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-25-720-cca-25/16940002-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,25,720 A,910 A,>500AMP,7.69,9.38,6.75,201-500sq.inch,Top Right,Top Left,90 min,Top Mount,12.0 VDC,31.7,20.1-40pound,,"Red Top Battery, Group Size 25, 720 CCA",(85 reviews),3 YR FREE REPLACEMENT,224.99,16940002,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4,224.99,201-400$,899.96,0.0016724720000000002
