title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin
fram autolite xp5325-4pk iridium xp spark plug pack of 4,https://www.amazon.com/Autolite-XP5325-4PK-Iridium-Spark-Plug/dp/B009J5O0G2/ref=sr_1_18?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-18,B009J5O0G2,Autolite,spark plug,10.16,0-50$,484,4917,0.415033725183018,XP5325-4PK,,0.4875,0-1pound,4.17 x 3.58 x 1.06 inches,1-50sq.inch,Mexico
ngk 6619 iridium spark plugs lfr6aix-11 - 6 pcsnew,https://www.amazon.com/NGK-6619-Iridium-Spark-LFR6AIX-11/dp/B00IAGN4UY/ref=sr_1_19?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-19,B00IAGN4UY,NGK,spark plug,35.5,0-50$,546,19383,1.63607864454391,,,0.12,0-1pound,3.7 x 0.94 x 4.98 inches,1-50sq.inch,
lexivon 5/8' swivel magnetic spark plug socket 3/8' drive x 6' total length | enhanced magnetic design with thin wall socket cr-v steel (lx-121),https://www.amazon.com/Lexivon-Swivel-Magnetic-Enhanced-LX-121/dp/B07MDL88FD/ref=sr_1_20?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-20,B07MDL88FD,LEXIVON,spark plug,10.97,0-50$,861,9445,0.797232770867114,LX-121,,0.5875,0-1pound,1 x 1 x 6 inches,1-50sq.inch,
set of 4 oem 96306 double iridium spark plugs for a4 a6 tt quattro turbocharged cooper slk230 supercharged 1990-2017,https://www.amazon.com/Iridium-Quattro-Turbocharged-Supercharged-1990-2017/dp/B09C955ZLY/ref=sr_1_23?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-23,B09C955ZLY,AD Auto Parts,spark plug,23.75,0-50$,77,1829,0.154382079186443,,96306,1.5,1.1-2pound,9.5 x 9.5 x 0.5 inches,1-50sq.inch,
autolite xp6203-4pk iridium xp spark plug pack of 4,https://www.amazon.com/Autolite-XP6203-4PK-Iridium-Spark-Plug/dp/B078JKF9YB/ref=sr_1_24?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-24,B078JKF9YB,Autolite,spark plug,29.38,0-50$,98,2879,0.243010391458594,XP6203-4PK,,0.525,0-1pound,4.2 x 3.6 x 1.2 inches,1-50sq.inch,Mexico
vplus 8pcs platinum spark plug replaces 3186 tr5gp,https://www.amazon.com/Vplus-Iridium-Spark-Replaces-TR5GP/dp/B085XZ8SWK/ref=sr_1_25?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-25,B085XZ8SWK,Vplus,spark plug,25.99,0-50$,187,4860,0.410222473945386,CT13,"3186, TR5GP",0.7875,0-1pound,4.06 x 3.98 x 1.81 inches,1-50sq.inch,
6 new ngk iridium ix spark plugs lfr5aix-11  4469,https://www.amazon.com/NGK-Iridium-Spark-LFR5AIX-11-4469/dp/B00330AMYS/ref=sr_1_26?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-26,B00330AMYS,NGK,spark plug,37.5,0-50$,533,19988,1.68714543399596,,,0.000625,0-1pound,3.7 x 0.94 x 4.98 inches,1-50sq.inch,
set (8pcs) denso platinum tt spark plugs stock 4503 platinum core .039'(1.0mm) gap size,https://www.amazon.com/Denso-Platinum-Spark-Plugs-Stock/dp/B072KPPG8F/ref=sr_1_27?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-27,B072KPPG8F,Denso,spark plug,26.78,0-50$,226,6052,0.510836710353391,,,0.875,0-1pound,40.2 x 92.16 x 11.52 inches,>1000sq.inch,
ngk standard 6263 cr9e standard spark plug 4 pack,https://www.amazon.com/NGK-6263-CR9E-Standard-Spark/dp/B00519BZ2M/ref=sr_1_28?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-28,B00519BZ2M,NGK,spark plug,23.5,0-50$,150,3525,0.29753790548508,,,0.3125,0-1pound,3.07 x 0.85 x 2.96 inches,1-50sq.inch,
vplus 4pcs iridium spark plug replaces 2447 1ung18110 99906910x9019 by481zfr5f mz602068 zfr5fix11,https://www.amazon.com/Vplus-1UNG18110-99906910X9019-BY481ZFR5F-ZFR5FIX11/dp/B085XSYQF4/ref=sr_1_29?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-29,B085XSYQF4,Vplus,spark plug,18.93,0-50$,135,2556,0.215746634445351,CT21,"1UNG18110, 99906910X9019, BY481ZFR5F, MZ602068, ZFR5FIX11",0.41875,0-1pound,4.02 x 3.9 x 0.94 inches,1-50sq.inch,
